date,source,sku,rating,customer_initial,location,review_text
2026-04-15,amazon,LL-CCB-050,5,D,Bengaluru,Tried 3 things from paediatrician. Cradle Cap Balm worked in 4 days. Buying again.
2026-04-18,amazon,LL-CCB-050,5,P,Mumbai,Dr. M at Apollo recommended this. Worked exactly as described in 5 days.
2026-04-19,d2c,LL-NDL-200,5,G,Pune,Switched from Mamaearth because their ingredient list is half-empty marketing words. This actually lists everything.
2026-04-22,amazon,LL-NDL-200,5,C,Delhi,I have been the parent who reads the back of the bottle for 6 years. You are the first brand that printed what I was already reading.
2026-04-22,amazon,LL-NDL-200,4,T,Hyderabad,Good product. Price felt steep on first buy but skin really did calm down. No fragrance which is rare.
2026-04-25,amazon,LL-BHW-250,2,J,Lucknow,Doesn't lather at all. Coming from Sebamed this feels like water.
2026-04-26,amazon,LL-CCB-050,5,F,Mumbai,Used for my 4-month-old. Cradle cap gone in a week. Doctor recommended this specifically by name. Now I know why.
2026-04-28,d2c,LL-NDL-200,5,A,Bengaluru,No fragrance no fillers. My newborns skin calmed in 3 days. Will be a repeat buyer.
2026-04-30,d2c,LL-CCB-050,5,B,Mumbai,Wish it came in 100ml. The 50ml runs out fast for two-time daily application.
2026-05-02,d2c,LL-CCB-050,5,E,Chennai,My son had cradle cap till he was 8 months. This finally cleared it. Buying the lotion next.
2026-05-04,amazon,LL-DRC-030,5,H,Bengaluru,My paediatrician partner approved the ingredient list before I bought. That mattered.
2026-05-05,flipkart,LL-NDL-200,4,V,Pune,Bottle smaller than I expected for the price but quality is good. No reactions on my babys skin.
2026-05-06,amazon,LL-BHW-250,2,K,Indore,Husband says no foam means no clean. Wash feels watery. Returning.
2026-05-07,d2c,LL-NDL-200,5,O,Mumbai,Set a calendar reminder for myself to reorder. Brand should do this for me.
2026-05-08,amazon,LL-COM-200,4,W,Kolkata,Smell is very mild which is what I wanted. Slightly sticky vs my previous bottle. Newborn loved the massage.
2026-05-09,amazon,LL-NDL-200,5,X,Bengaluru,Bought after my doctor showed me the ingredient list at the clinic. Approved. Working as promised.
2026-05-10,d2c,LL-CCB-050,5,Y,Delhi,Cradle cap was bad. This worked. I do not understand why other brands do not name the active ingredient.
2026-05-11,amazon,LL-BHW-250,3,Z,Jaipur,Mild and gentle but lather is very low. Took me 2 weeks to trust it.
