date,platform,sku,rating,customer_initial,city,review_text
2026-04-11,zomato,TPL-ALM-001,5,A,Mumbai,Almond Delight is exactly what I remembered from my grandmother's paan. No tobacco no spit. Eat and swallow. Family loved it.
2026-04-14,swiggy,TPL-MTH-001,5,B,Pune,Ordered for Sunday lunch. Husband approved. Better than the Kalbadevi paan wala from his college days.
2026-04-18,zomato,TPL-MCR-001,4,C,Mumbai,Cranberry is a strange ingredient in paan but it works. Bought a second box.
2026-04-19,swiggy,TPL-MTH-001,5,D,Bengaluru,My Sunday paan ritual is back. The kids can even have a small bite which I would never allow with the paan wala one.
2026-04-22,zomato,TPL-ALM-001,5,A,Mumbai,I cannot remember the last time I ate a paan I did not have to spit out. This is the first.
2026-04-25,swiggy,TPL-GRN-001,4,E,Mumbai,Granola Goodness arrived a bit soft. Otherwise interesting product. Will try again in winter.
2026-04-27,zomato,TPL-DFM-001,5,F,Hyderabad,Festival in a box. Sent to in-laws. Their first response was a phone call to ask where I bought it.
2026-04-29,swiggy,TPL-MTH-001,5,G,Delhi,Meetha Paan is the new evening ritual at our place. Tobacco free is the reason my mother in law eats it with me.
2026-05-01,zomato,TPL-MCR-001,5,E,Mumbai,Bought because the page said spit-free. Confirmed. Cleaner experience than I expected.
2026-05-03,zomato,TPL-MTH-001,4,L,Pune,Pricey but I see why after tasting. Will buy again for special occasions.
2026-05-05,swiggy,TPL-ALM-001,5,H,Bengaluru,Got this from a wedding. Bought again. The packaging itself feels like a gift.
2026-05-06,swiggy,TPL-DFM-001,3,P,Delhi,Shipped in summer to Delhi. Almond Delight had melted on edges. Taste was still good. Pack a cooler next time.
2026-05-07,zomato,TPL-GRN-001,5,I,Mumbai,Started with Granola now my partner is hooked on the Meetha Paan.
2026-05-09,swiggy,TPL-MKW-001,4,Q,Bengaluru,Mukhwas hand roasted clearly. Better than the loose mukhwas at sweet shops. Pack size small for the price.
