date,campaign_id,campaign_name,angle,spend_inr,impressions,clicks,conversions
2026-04-15,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,6720,48000,888,23
2026-04-15,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4200,25455,369,13
2026-04-15,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3500,20000,270,10
2026-04-16,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,6960,49714,920,23
2026-04-16,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4350,26364,382,12
2026-04-16,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3625,20714,280,10
2026-04-17,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7200,51429,951,24
2026-04-17,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4500,27273,395,13
2026-04-17,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3750,21429,289,11
2026-04-18,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7200,51429,951,24
2026-04-18,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4500,27273,395,13
2026-04-18,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3750,21429,289,11
2026-04-19,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,6960,49714,920,23
2026-04-19,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4350,26364,382,12
2026-04-19,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3625,20714,280,10
2026-04-20,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,6480,46286,856,23
2026-04-20,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4050,24545,356,11
2026-04-20,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3375,19286,260,10
2026-04-21,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,6480,46286,856,22
2026-04-21,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4050,24545,356,11
2026-04-21,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3375,19286,260,10
2026-04-22,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7000,50000,925,23
2026-04-22,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4340,26303,381,12
2026-04-22,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3780,21600,292,10
2026-04-23,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7250,51786,958,24
2026-04-23,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4495,27242,395,12
2026-04-23,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3915,22371,302,11
2026-04-24,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7500,53571,991,25
2026-04-24,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4650,28182,409,13
2026-04-24,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,4050,23143,312,11
2026-04-25,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7500,53571,991,25
2026-04-25,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4650,28182,409,13
2026-04-25,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,4050,23143,312,11
2026-04-26,META-001,"Heritage Ritual: Meetha Paan",heritage-ritual,7250,51786,958,24
2026-04-26,META-002,"Modern Paan: Masala Cranberry",modern-cranberry,4495,27242,395,12
2026-04-26,META-003,"Festival Gifting: Dry Fruit Box",festival-gifting,3915,22371,302,11
